temperature,city,pressure,date
278.07,Washington,1003,2024-03-24 09-00
278.07,Washington,1003,2024-03-24 08-59
278.07,Washington,1003,2024-03-24 08-58
277.97,Washington,1003,2024-03-24 08-57
277.97,Washington,1003,2024-03-24 08-56
277.97,Washington,1003,2024-03-24 08-55
277.97,Washington,1003,2024-03-24 08-54
277.97,Washington,1003,2024-03-24 08-53
277.97,Washington,1003,2024-03-24 08-52
277.97,Washington,1003,2024-03-24 08-51
277.97,Washington,1003,2024-03-24 08-50
277.97,Washington,1003,2024-03-24 08-49
278.14,Washington,1003,2024-03-24 08-48
278.14,Washington,1003,2024-03-24 08-47
278.14,Washington,1003,2024-03-24 08-46
278.14,Washington,1003,2024-03-24 08-45
278.14,Washington,1003,2024-03-24 08-41
278.14,Washington,1003,2024-03-24 08-40
278.14,Washington,1003,2024-03-24 08-39
278.14,Washington,1003,2024-03-24 08-38
