temperature,city,pressure,date
278.07,Washington,1003,2024-03-24 09-00
278.07,Washington,1003,2024-03-24 08-59
278.07,Washington,1003,2024-03-24 08-58
277.97,Washington,1003,2024-03-24 08-57
277.97,Washington,1003,2024-03-24 08-56
277.97,Washington,1003,2024-03-24 08-55
277.97,Washington,1003,2024-03-24 08-54
277.97,Washington,1003,2024-03-24 08-53
277.97,Washington,1003,2024-03-24 08-52
277.97,Washington,1003,2024-03-24 08-51
277.97,Washington,1003,2024-03-24 08-50
277.97,Washington,1003,2024-03-24 08-49
278.14,Washington,1003,2024-03-24 08-48
278.14,Washington,1003,2024-03-24 08-47
278.14,Washington,1003,2024-03-24 08-46
278.14,Washington,1003,2024-03-24 08-45
278.14,Washington,1003,2024-03-24 08-41
278.14,Washington,1003,2024-03-24 08-40
278.14,Washington,1003,2024-03-24 08-39
278.14,Washington,1003,2024-03-24 08-38
278.11,Washington,1003,2024-03-24 07-42
292.04,Tunisia,1019,2024-03-24 09-00
292.04,Tunisia,1019,2024-03-24 08-59
292.04,Tunisia,1019,2024-03-24 08-58
292.04,Tunisia,1019,2024-03-24 08-57
292.04,Tunisia,1019,2024-03-24 08-56
292.04,Tunisia,1019,2024-03-24 08-55
292.04,Tunisia,1019,2024-03-24 08-54
292.04,Tunisia,1019,2024-03-24 08-53
292.04,Tunisia,1019,2024-03-24 08-52
292.04,Tunisia,1019,2024-03-24 08-51
292.04,Tunisia,1019,2024-03-24 08-50
292.04,Tunisia,1019,2024-03-24 08-49
292.04,Tunisia,1019,2024-03-24 08-48
292.04,Tunisia,1019,2024-03-24 08-47
292.04,Tunisia,1019,2024-03-24 08-46
292.04,Tunisia,1019,2024-03-24 08-45
292.04,Tunisia,1019,2024-03-24 08-41
292.04,Tunisia,1019,2024-03-24 08-40
292.04,Tunisia,1019,2024-03-24 08-39
292.04,Tunisia,1019,2024-03-24 08-38
290.04,Tunisia,1019,2024-03-24 07-42
286.16,Tokyo,1018,2024-03-24 09-00
286.16,Tokyo,1018,2024-03-24 08-59
286.16,Tokyo,1018,2024-03-24 08-58
286.16,Tokyo,1018,2024-03-24 08-57
286.16,Tokyo,1018,2024-03-24 08-56
286.16,Tokyo,1018,2024-03-24 08-55
286.16,Tokyo,1018,2024-03-24 08-54
286.16,Tokyo,1018,2024-03-24 08-53
286.16,Tokyo,1018,2024-03-24 08-52
286.16,Tokyo,1018,2024-03-24 08-51
